Timestep,P1UDT942-P1UHS0_1247X.1,P1UDT942-P1UHS0_1247X.2,P1UDT942-P1UHS0_1247X.3
4/2/2018 16:15,-5.13E-08,-2.09439517,2.094395048
4/2/2018 16:30,-5.24E-08,-2.094395169,2.094395046
4/2/2018 16:45,-5.34E-08,-2.094395168,2.094395045
4/2/2018 17:00,-5.36E-08,-2.094395167,2.094395044
4/2/2018 17:15,-5.19E-08,-2.094395164,2.094395044
4/2/2018 17:30,-5.37E-08,-2.094395163,2.094395044
4/2/2018 17:45,-5.51E-08,-2.094395163,2.094395042
4/2/2018 18:00,-5.78E-08,-2.094395165,2.094395038
4/2/2018 18:15,-5.87E-08,-2.094395165,2.094395036
4/2/2018 18:30,-5.95E-08,-2.094395167,2.094395033
4/2/2018 18:45,-5.81E-08,-2.094395165,2.094395034
4/3/2018 7:00,-6.20E-08,-2.094395168,2.094395032
4/3/2018 7:15,-6.20E-08,-2.094395169,2.094395033
4/3/2018 7:30,-6.29E-08,-2.09439517,2.094395034
4/3/2018 7:45,-6.31E-08,-2.09439517,2.094395034
4/3/2018 8:00,-6.47E-08,-2.094395169,2.094395035
4/3/2018 8:15,-6.18E-08,-2.09439517,2.094395037
4/3/2018 8:30,-5.77E-08,-2.094395169,2.09439504
4/3/2018 8:45,-5.68E-08,-2.094395169,2.094395041
4/3/2018 9:00,-5.44E-08,-2.094395169,2.094395043
4/3/2018 9:15,-5.44E-08,-2.094395169,2.094395043
4/3/2018 9:30,-5.58E-08,-2.09439517,2.094395041
4/3/2018 9:45,-5.48E-08,-2.094395171,2.094395044
4/3/2018 10:00,-5.27E-08,-2.094395171,2.094395046
4/3/2018 10:15,-5.09E-08,-2.09439517,2.094395049
4/3/2018 10:30,-4.78E-08,-2.09439517,2.094395054
4/3/2018 10:45,-4.75E-08,-2.09439517,2.094395054
4/3/2018 11:00,-4.65E-08,-2.09439517,2.094395055
4/3/2018 11:15,-4.49E-08,-2.094395169,2.094395057
4/3/2018 11:30,-4.34E-08,-2.09439517,2.09439506
4/3/2018 11:45,-4.14E-08,-2.094395169,2.094395063
4/3/2018 12:00,-4.18E-08,-2.094395168,2.094395062
4/3/2018 12:15,-4.13E-08,-2.094395167,2.094395063
4/3/2018 12:30,-4.09E-08,-2.094395167,2.094395064
4/3/2018 12:45,-4.02E-08,-2.094395167,2.094395064
4/3/2018 13:00,-4.18E-08,-2.094395168,2.094395063
4/3/2018 13:15,-4.29E-08,-2.094395169,2.094395062
4/3/2018 13:30,-4.43E-08,-2.09439517,2.09439506
4/3/2018 13:45,-4.63E-08,-2.094395171,2.094395056
4/3/2018 14:00,-4.83E-08,-2.094395172,2.094395052
4/3/2018 14:15,-4.96E-08,-2.094395171,2.094395049
4/3/2018 14:30,-5.13E-08,-2.094395171,2.094395047
4/3/2018 14:45,-5.17E-08,-2.09439517,2.094395047
4/3/2018 15:00,-5.26E-08,-2.09439517,2.094395047
4/3/2018 15:15,-5.57E-08,-2.09439517,2.094395045
4/3/2018 15:30,-5.49E-08,-2.094395168,2.094395045
4/3/2018 15:45,-5.39E-08,-2.094395168,2.094395045
4/3/2018 16:00,-5.18E-08,-2.094395167,2.094395046
4/3/2018 16:15,-5.36E-08,-2.094395166,2.094395043
4/3/2018 16:30,-5.48E-08,-2.094395165,2.094395042
4/3/2018 16:45,-5.44E-08,-2.094395165,2.094395042
4/3/2018 17:00,-5.38E-08,-2.094395165,2.094395042
4/3/2018 17:15,-5.45E-08,-2.094395165,2.09439504
4/3/2018 17:30,-5.66E-08,-2.094395163,2.094395039
4/3/2018 17:45,-5.67E-08,-2.094395162,2.094395039
4/3/2018 18:00,-5.96E-08,-2.094395163,2.094395036
4/3/2018 18:15,-5.90E-08,-2.094395164,2.094395035
4/3/2018 18:30,-5.89E-08,-2.094395165,2.094395035
4/3/2018 18:45,-5.74E-08,-2.094395164,2.094395037
4/4/2018 7:00,-5.98E-08,-2.094395167,2.094395033
4/4/2018 7:15,-6.03E-08,-2.094395167,2.094395033
4/4/2018 7:30,-6.11E-08,-2.094395168,2.094395033
4/4/2018 7:45,-6.13E-08,-2.094395169,2.094395033
4/4/2018 8:00,-6.18E-08,-2.09439517,2.094395033
4/4/2018 8:15,-6.16E-08,-2.094395169,2.094395034
4/4/2018 8:30,-5.99E-08,-2.094395169,2.094395035
4/4/2018 8:45,-5.87E-08,-2.094395169,2.094395037
4/4/2018 9:00,-5.70E-08,-2.094395168,2.094395039
4/4/2018 9:15,-5.71E-08,-2.094395169,2.094395039
4/4/2018 9:30,-5.84E-08,-2.094395169,2.094395038
4/4/2018 9:45,-6.06E-08,-2.094395169,2.094395038
4/4/2018 10:00,-6.09E-08,-2.09439517,2.094395037
4/4/2018 10:15,-6.09E-08,-2.094395169,2.094395037
4/4/2018 10:30,-6.09E-08,-2.094395169,2.094395038
4/4/2018 10:45,-6.08E-08,-2.094395169,2.094395038
4/4/2018 11:00,-6.02E-08,-2.094395169,2.094395039
4/4/2018 11:15,-5.61E-08,-2.094395168,2.094395043
4/4/2018 11:30,-5.34E-08,-2.094395167,2.094395047
4/4/2018 11:45,-5.28E-08,-2.094395168,2.094395048
4/4/2018 12:00,-5.11E-08,-2.094395168,2.094395049
4/4/2018 12:15,-5.11E-08,-2.094395167,2.094395048
4/4/2018 12:30,-5.26E-08,-2.094395166,2.094395046
4/4/2018 12:45,-5.32E-08,-2.094395167,2.094395045
4/4/2018 13:00,-5.62E-08,-2.094395168,2.094395042
4/4/2018 13:15,-5.86E-08,-2.094395171,2.09439504
4/4/2018 13:30,-5.93E-08,-2.094395171,2.094395039
4/4/2018 13:45,-5.95E-08,-2.094395172,2.094395038
4/4/2018 14:00,-5.96E-08,-2.094395172,2.094395037
4/4/2018 14:15,-5.89E-08,-2.09439517,2.094395038
4/4/2018 14:30,-5.85E-08,-2.094395169,2.094395039
4/4/2018 14:45,-5.83E-08,-2.094395169,2.094395038
